"model","horizon","tau","mean_score","rw_score","relative_to_rw"
"RW",1,0.75,0.0757876009813237,0.0757876009813237,1
"RW",1,0.9,0.0751291003625945,0.0751291003625945,1
"RW",1,0.95,0.0749096001563514,0.0749096001563514,1
"RW",3,0.05,0.145057366035875,0.145057366035875,1
"RW",3,0.1,0.14434997662024,0.14434997662024,1
"RW",3,0.25,0.142227808373335,0.142227808373335,1
"RW",3,0.5,0.13869086129516,0.13869086129516,1
"RW",3,0.75,0.135153914216985,0.135153914216985,1
"RW",3,0.9,0.13303174597008,0.13303174597008,1
"RW",3,0.95,0.132324356554445,0.132324356554445,1
"RW",6,0.05,0.198962131420567,0.198962131420567,1
"RW",6,0.1,0.197489505727338,0.197489505727338,1
"RW",6,0.25,0.193071628647652,0.193071628647652,1
"RW",6,0.5,0.185708500181509,0.185708500181509,1
"RW",6,0.75,0.178345371715366,0.178345371715366,1
"RW",6,0.9,0.173927494635681,0.173927494635681,1
"RW",6,0.95,0.172454868942452,0.172454868942452,1
"RW",9,0.05,0.245680554873164,0.245680554873164,1
"RW",9,0.1,0.242728349426095,0.242728349426095,1
"RW",9,0.25,0.233871733084888,0.233871733084888,1
"RW",9,0.5,0.219110705849543,0.219110705849543,1
"RW",9,0.75,0.204349678614198,0.204349678614198,1
"RW",9,0.9,0.195493062272991,0.195493062272991,1
"RW",9,0.95,0.192540856825922,0.192540856825922,1
"RW",12,0.05,0.275178718805547,0.275178718805547,1
"RW",12,0.1,0.271215388535841,0.271215388535841,1
"RW",12,0.25,0.259325397726722,0.259325397726722,1
"RW",12,0.5,0.23950874637819,0.23950874637819,1
"RW",12,0.75,0.219692095029658,0.219692095029658,1
"RW",12,0.9,0.207802104220538,0.207802104220538,1
"RW",12,0.95,0.203838773950832,0.203838773950832,1
"mixBART",1,0.05,0.0174986770839822,0.078860603868727,0.221893774908329
"mixBART",1,0.1,0.0326066174715372,0.0786411036624839,0.414625634089268
"mixBART",1,0.25,0.064480177915121,0.0779826030437547,0.826853367268881
"mixBART",1,0.5,0.087523402102611,0.0768851020125392,1.13836620894821
"mixBART",1,0.75,0.0786596428063067,0.0757876009813237,1.03789593268285
"mixBART",1,0.9,0.050266127232065,0.0751291003625945,0.669063345487519
"mixBART",1,0.95,0.0324125581947815,0.0749096001563514,0.432688976140975
"mixBART",3,0.05,0.0289089926622807,0.145057366035875,0.199293517125708
"mixBART",3,0.1,0.054097188374811,0.14434997662024,0.374764095162492
"mixBART",3,0.25,0.109941879490605,0.142227808373335,0.772998478623941
"mixBART",3,0.5,0.14287814880547,0.13869086129516,1.0301915170993
"mixBART",3,0.75,0.121635948437173,0.135153914216985,0.899980952396914
"mixBART",3,0.9,0.0764486332683621,0.13303174597008,0.574664586342842
"mixBART",3,0.95,0.0491412759905721,0.132324356554445,0.371369846566024
"mixBART",6,0.05,0.0431333307634786,0.198962131420567,0.216791660078788
"mixBART",6,0.1,0.0706111548024597,0.197489505727338,0.357543832733818
"mixBART",6,0.25,0.125045303271975,0.193071628647652,0.647662756811245
"mixBART",6,0.5,0.168618971401692,0.185708500181509,0.907976593623265
"mixBART",6,0.75,0.156960636044093,0.178345371715366,0.880093688635762
"mixBART",6,0.9,0.0991749691709855,0.173927494635681,0.570208691723661
"mixBART",6,0.95,0.0589540927644897,0.172454868942452,0.341852295188966
"mixBART",9,0.05,0.0408542725107106,0.245680554873164,0.16629021589357
"mixBART",9,0.1,0.0710686544200782,0.242728349426095,0.292790910448295
"mixBART",9,0.25,0.136182591547719,0.233871733084888,0.582296072087897
"mixBART",9,0.5,0.188415062195277,0.219110705849543,0.859908060926316
"mixBART",9,0.75,0.174101059327894,0.204349678614198,0.851976183709043
"mixBART",9,0.9,0.110063091085276,0.195493062272991,0.563002542420569
"mixBART",9,0.95,0.0706454504302982,0.192540856825922,0.366911478399463
"mixBART",12,0.05,0.0372782610849871,0.275178718805547,0.135469273375495
"mixBART",12,0.1,0.0696105791871801,0.271215388535841,0.256661613350826
"mixBART",12,0.25,0.141127726283936,0.259325397726722,0.544210970159804
"mixBART",12,0.5,0.203295873777126,0.23950874637819,0.848803548310162
"mixBART",12,0.75,0.19923558566132,0.219692095029658,0.906885546493712
"mixBART",12,0.9,0.131136744676632,0.207802104220538,0.631065528275201
"mixBART",12,0.95,0.080058473103602,0.203838773950832,0.392753898347686
