"cycle","horizon","model","actual","forecast"
6,1,"mixBART",2.46150165403709,1.8745630805719
6,1,"RW",2.46150165403709,1.68523805138595
6,3,"BVAR",2.44844233964313,1.55083972289337
6,3,"mixBART",2.44844233964313,1.9118785330111
6,3,"RW",2.44844233964313,1.68523805138595
6,6,"BVAR",1.90528786414469,1.63625096098503
6,6,"mixBART",1.90528786414469,1.80373861030893
6,6,"RW",1.90528786414469,1.68523805138595
6,9,"BVAR",1.98235156454344,1.68404903344065
6,9,"mixBART",1.98235156454344,1.55502160439431
6,9,"RW",1.98235156454344,1.68523805138595
6,12,"BVAR",1.68951227287217,1.70570864566169
6,12,"mixBART",1.68951227287217,1.71638199562161
6,12,"RW",1.68951227287217,1.68523805138595
7,1,"BVAR",2.68060766571029,2.40359252356026
7,1,"mixBART",2.68060766571029,2.79918182754068
7,1,"RW",2.68060766571029,2.4535656959413
7,3,"BVAR",1.97374777435784,2.32247676608328
7,3,"mixBART",1.97374777435784,2.65343460121628
7,3,"RW",1.97374777435784,2.4535656959413
7,6,"BVAR",2.20995492612765,2.31330752945278
7,6,"mixBART",2.20995492612765,2.73897722771459
7,6,"RW",2.20995492612765,2.4535656959413
7,9,"BVAR",1.78215553773909,2.35689996021852
7,9,"mixBART",1.78215553773909,2.46547772390538
7,9,"RW",1.78215553773909,2.4535656959413
7,12,"BVAR",1.92768242679342,2.31671827500639
7,12,"mixBART",1.92768242679342,2.91175739900362
7,12,"RW",1.92768242679342,2.4535656959413
8,1,"BVAR",2.44844233964313,2.68366074077785
8,1,"mixBART",2.44844233964313,2.7714233567509
8,1,"RW",2.44844233964313,2.67014747641293
8,3,"BVAR",1.85370027092542,2.59195563729627
8,3,"mixBART",1.85370027092542,2.66890845324752
8,3,"RW",1.85370027092542,2.67014747641293
8,6,"BVAR",2.12770846258128,2.64397690479486
8,6,"mixBART",2.12770846258128,2.36649350376417
8,6,"RW",2.12770846258128,2.67014747641293
8,9,"BVAR",1.56595977811765,2.63949693489823
8,9,"mixBART",1.56595977811765,2.47486117039774
8,9,"RW",1.56595977811765,2.67014747641293
8,12,"BVAR",2.02995655260029,2.56637166856459
8,12,"mixBART",2.02995655260029,2.66087237848899
8,12,"RW",2.02995655260029,2.67014747641293
9,1,"BVAR",1.97374777435784,2.24215373674393
9,1,"mixBART",1.97374777435784,2.58476025569823
9,1,"RW",1.97374777435784,2.4361205238575
9,3,"BVAR",1.90528786414469,2.20741680527163
9,3,"mixBART",1.90528786414469,2.54055520328928
